burned;dim;empty;finalTime;forest;simulations
2;20;0.76;100;112;"1_execution_dim_20_empty_0.76_"
1;20;0.76;100;85;"2_execution_dim_20_empty_0.76_"
1;20;0.76;100;87;"3_execution_dim_20_empty_0.76_"
3;20;0.77;100;96;"1_execution_dim_20_empty_0.77_"
1;20;0.77;100;86;"2_execution_dim_20_empty_0.77_"
1;20;0.77;100;87;"3_execution_dim_20_empty_0.77_"
2;20;0.78;100;82;"1_execution_dim_20_empty_0.78_"
4;20;0.78;100;89;"2_execution_dim_20_empty_0.78_"
1;20;0.78;100;90;"3_execution_dim_20_empty_0.78_"
3;20;0.79;100;74;"1_execution_dim_20_empty_0.79_"
2;20;0.79;100;86;"2_execution_dim_20_empty_0.79_"
3;20;0.79;100;94;"3_execution_dim_20_empty_0.79_"
4;20;0.8;100;87;"1_execution_dim_20_empty_0.8_"
2;20;0.8;100;92;"2_execution_dim_20_empty_0.8_"
2;20;0.8;100;77;"3_execution_dim_20_empty_0.8_"
4;20;0.81;100;65;"1_execution_dim_20_empty_0.81_"
3;20;0.81;100;58;"2_execution_dim_20_empty_0.81_"
1;20;0.81;100;75;"3_execution_dim_20_empty_0.81_"
3;20;0.82;100;59;"1_execution_dim_20_empty_0.82_"
6;20;0.82;100;73;"2_execution_dim_20_empty_0.82_"
1;20;0.82;100;62;"3_execution_dim_20_empty_0.82_"
2;20;0.83;100;63;"1_execution_dim_20_empty_0.83_"
3;20;0.83;100;60;"2_execution_dim_20_empty_0.83_"
5;20;0.83;100;64;"3_execution_dim_20_empty_0.83_"
2;20;0.84;100;72;"1_execution_dim_20_empty_0.84_"
1;20;0.84;100;66;"2_execution_dim_20_empty_0.84_"
2;20;0.84;100;50;"3_execution_dim_20_empty_0.84_"
3;20;0.85;100;54;"1_execution_dim_20_empty_0.85_"
1;20;0.85;100;56;"2_execution_dim_20_empty_0.85_"
1;20;0.85;100;53;"3_execution_dim_20_empty_0.85_"
3;20;0.86;100;53;"1_execution_dim_20_empty_0.86_"
1;20;0.86;100;49;"2_execution_dim_20_empty_0.86_"
1;20;0.86;100;58;"3_execution_dim_20_empty_0.86_"
1;20;0.87;100;45;"1_execution_dim_20_empty_0.87_"
1;20;0.87;100;38;"2_execution_dim_20_empty_0.87_"
1;20;0.87;100;62;"3_execution_dim_20_empty_0.87_"
2;20;0.88;100;40;"1_execution_dim_20_empty_0.88_"
1;20;0.88;100;42;"2_execution_dim_20_empty_0.88_"
1;20;0.88;100;52;"3_execution_dim_20_empty_0.88_"
1;20;0.89;100;46;"1_execution_dim_20_empty_0.89_"
2;20;0.89;100;47;"2_execution_dim_20_empty_0.89_"
1;20;0.89;100;41;"3_execution_dim_20_empty_0.89_"
1;20;0.9;100;35;"1_execution_dim_20_empty_0.9_"
